"Coordinates, N","Coordinates, E"
"72,0349","63,4284"
"73,0049","73,2162"
"73,1947","73,0431"
"77,2875","122,2783"
"77,0936","126,3224"
"76,7921","125,8600"
"76,7991","125,8287"
"76,8721","127,7050"
"78,0766","133,4727"
"74,9832","160,9015"
"72,5055","150,4884"
"72,9090","14,0618"
"72,9718","139,7906"
"72,0438","131,7574"
"72,0436","130,6299"
"72,4920","130,3822"
"73,0638","130,2990"
"74,4811","130,0700"
"75,0556","130,0752"
"76,6140","130,0798"
"76,4085","125,9967"
"76,4004","125,8398"
"77,1975","120,9237"
"77,2630","120,5893"
"77,5127","113,7918"
"77,8792","105,4504"
"78,1423","104,7097"
"77,7648","103,8977"
"77,2648","96,8496"
"76,3736","89,7532"
"75,1835","84,1192"
"74,2058","79,3227"
"73,9567","74,5292"
"73,0658","68,4815"
"69,7166","48,9737"
"69,7212","49,0788"
"69,7249","49,1724"
"70,3346","57,9972"
"70,4119","58,0867"
"70,5045","58,1800"
"70,5281","58,2134"
"70,5033","58,4583"
"74,3250","67,6469"
"74,6982","69,2677"
"74,7054","69,4664"
"74,7127","69,6567"
"74,7085","69,6461"
"74,7070","69,5613"
"75,1407","74,9788"
"73,0656","73,0454"
"72,7788","73,5037"
"72,4435","73,9460"
"72,1901","73,3951"
"73,6076","75,3952"
"73,4971","77,5351"
"73,2894","79,4836"
"73,1457","79,9087"
"72,4392","80,2646"
"74,1438","81,2099"
"74,4457","82,3891"
"74,3158","83,6885"
"74,8039","83,5918"
"82,1747","78,8171"
"82,3843","78,8435"
"82,9780","78,7074"
"81,7785","71,0621"
"81,7636","70,8149"
"81,7490","70,5630"
"80,8563","70,3869"
"80,2797","69,4124"
"79,8543","70,7894"
"79,4732","65,1227"
"78,2416","65,4304"
"77,9463","65,3724"
"77,7127","65,5724"
"77,8695","64,8989"
"78,0696","64,1621"
"78,2718","63,4976"
"78,4716","62,8603"
"64,5750","40,4949"
"78,3410","15,0841"
