#EXPORTTYPE:DATA SINGLE
#FILE:2502-089-208-02-04-PE2-30-300-20kmin-100ml-Ar.ngb-dd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:2502-089-208-02-04
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:2502-089-208
#DATE/TIME:10.07.2025 10:56
#CORR. FILE:2502-089-208-02-02-empty-30-300-20kmin-100ml-Ar.ngb-bd7
#TEMPCAL:04-09-2020 13:02
#SENSITIVITY:29-12-2022 20:43
#LABORATORY:RC Thermo
#OPERATOR:MC
#REMARK:2502-089-208-02-04-PE2-30-300-20kmin-100ml-Ar
#SAMPLE:PE2
#SAMPLE MASS /mg:1.67
#MATERIAL:poly
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:41.65
#REFERENCE CRUCIBLE MASS /mg:41.59
#PURGE 1 MFC:ARGON,240,3 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:20°C....300°C/-50.0....20.0K/min
#SEGMENT:S1-7/7
#SEG. 1:20°C/00:08/20°C
#SEG. 2:20°C/20.0(K/min)/300°C
#SEG. 3:300°C/20.0(K/min)/20°C
#SEG. 4:20°C/00:08/20°C
#SEG. 5:20°C/20.0(K/min)/300°C
#SEG. 6:300°C/50.0(K/min)/30°C
#SEG. 7:30°C/00:05/30°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 19.52600; 0.00000;-1.439577e-02;3.42660;1
 19.52533; 0.00333;-1.503633e-02;3.42660;1
 19.52520; 0.00667;-1.567637e-02;3.42660;1
 19.52543; 0.01000;-1.616797e-02;3.42660;1
 19.52533; 0.01333;-1.639298e-02;3.42660;1
 19.52536; 0.01667;-1.615907e-02;3.42660;1
 19.52515; 0.02000;-1.577489e-02;3.42660;1
 19.52487; 0.02333;-1.539443e-02;3.42660;1
 19.52488; 0.02667;-1.516964e-02;3.42660;1
 19.52488; 0.03000;-1.496291e-02;3.42660;1
 19.52494; 0.03333;-1.478312e-02;3.42660;1
 19.52500; 0.03667;-1.464141e-02;3.42660;1
 19.52494; 0.04000;-1.443495e-02;3.42660;1
 19.52482; 0.04333;-1.433438e-02;3.42660;1
 19.52471; 0.04667;-1.426686e-02;3.42660;1
 19.52441; 0.05000;-1.432517e-02;3.42660;1
 19.52435; 0.05333;-1.432636e-02;3.42660;1
 19.52424; 0.05667;-1.430320e-02;3.42660;1
 19.52424; 0.06000;-1.427943e-02;3.42660;1
 19.52412; 0.06333;-1.438224e-02;3.42660;1
 19.52418; 0.06667;-1.462503e-02;3.42660;1
 19.52412; 0.07000;-1.496633e-02;3.42660;1
 19.52406; 0.07333;-1.534529e-02;3.42660;1
 19.52394; 0.07667;-1.585869e-02;3.42660;1
 19.52371; 0.08000;-1.637521e-02;3.42660;1
 19.52353; 0.08333;-1.684023e-02;3.42660;1
 19.52335; 0.08667;-1.715588e-02;3.42660;1
 19.52318; 0.09000;-1.742044e-02;3.42660;1
 19.52312; 0.09333;-1.763048e-02;3.42660;1
 19.52312; 0.09667;-1.788235e-02;3.42660;1
 19.52324; 0.10000;-1.807151e-02;3.42660;1
