#EXPORTTYPE:DATA SINGLE
#FILE:2502-089-208-02-09-PP1-30-200-20kmin-100ml-Ar.ngb-dd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:2502-089-208-02-09
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:2502-089-208
#DATE/TIME:10.07.2025 17:33
#CORR. FILE:2502-089-208-02-08-empty-30-200-20kmin-100ml-Ar.ngb-bd7
#TEMPCAL:04-09-2020 13:02
#SENSITIVITY:29-12-2022 20:43
#LABORATORY:RC Thermo
#OPERATOR:MC
#REMARK:2502-089-208-02-09-PP1-30-200-20kmin-100ml-Ar
#SAMPLE:PP1
#SAMPLE MASS /mg:1.76
#MATERIAL:poly
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:41.53
#REFERENCE CRUCIBLE MASS /mg:41.59
#PURGE 1 MFC:ARGON,240,3 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:20°C....200°C/-50.0....20.0K/min
#SEGMENT:S1-7/7
#SEG. 1:20°C/00:08/20°C
#SEG. 2:20°C/20.0(K/min)/200°C
#SEG. 3:200°C/20.0(K/min)/20°C
#SEG. 4:20°C/00:08/20°C
#SEG. 5:20°C/20.0(K/min)/200°C
#SEG. 6:200°C/50.0(K/min)/30°C
#SEG. 7:30°C/00:05/30°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 19.52000; 0.00000; 9.987805e-03;3.42659;1
 19.52067; 0.00333; 9.312324e-03;3.42659;1
 19.52120; 0.00667; 8.078553e-03;3.42659;1
 19.52143; 0.01000; 6.947204e-03;3.42659;1
 19.52111; 0.01333; 5.984406e-03;3.42659;1
 19.52082; 0.01667; 5.839319e-03;3.42659;1
 19.52069; 0.02000; 5.556329e-03;3.42659;1
 19.52080; 0.02333; 5.702010e-03;3.42659;1
 19.52071; 0.02667; 5.847691e-03;3.42659;1
 19.52065; 0.03000; 6.034911e-03;3.42659;1
 19.52053; 0.03333; 6.111765e-03;3.42659;1
 19.52041; 0.03667; 5.974544e-03;3.42659;1
 19.52029; 0.04000; 5.936434e-03;3.42659;1
 19.52018; 0.04333; 5.792048e-03;3.42659;1
 19.52012; 0.04667; 5.674535e-03;3.42659;1
 19.52006; 0.05000; 5.523952e-03;3.42659;1
 19.52018; 0.05333; 5.334310e-03;3.42659;1
 19.52029; 0.05667; 5.138155e-03;3.42659;1
 19.52035; 0.06000; 4.764030e-03;3.42659;1
 19.52035; 0.06333; 4.446862e-03;3.42659;1
 19.52035; 0.06667; 4.203573e-03;3.42659;1
 19.52035; 0.07000; 4.106242e-03;3.42659;1
 19.52035; 0.07333; 4.080654e-03;3.42659;1
 19.52029; 0.07667; 4.287612e-03;3.42659;1
 19.52047; 0.08000; 4.977658e-03;3.42659;1
 19.52071; 0.08333; 5.985218e-03;3.42659;1
 19.52100; 0.08667; 7.199379e-03;3.42659;1
 19.52129; 0.09000; 8.305593e-03;3.42659;1
 19.52153; 0.09333; 9.126910e-03;3.42659;1
 19.52171; 0.09667; 9.723865e-03;3.42659;1
 19.52188; 0.10000; 1.004786e-02;3.42659;1
 19.52194; 0.10333; 1.047630e-02;3.42659;1
 19.52206; 0.10667; 1.134894e-02;3.42660;1
 19.52206; 0.11000; 1.289180e-02;3.42660;1
 19.52224; 0.11333; 1.474500e-02;3.42660;1
 19.52247; 0.11667; 1.633475e-02;3.42660;1
 19.52276; 0.12000; 1.772879e-02;3.42660;1
 19.52300; 0.12333; 1.899350e-02;3.42660;1
 19.52318; 0.12667; 2.019003e-02;3.42660;1
 19.52329; 0.13000; 2.120204e-02;3.42660;1
 19.52329; 0.13333; 2.217789e-02;3.42660;1
 19.52318; 0.13667; 2.300415e-02;3.42660;1
 19.52306; 0.14000; 2.361761e-02;3.42660;1
 19.52306; 0.14333; 2.400567e-02;3.42660;1
 19.52306; 0.14667; 2.412758e-02;3.42660;1
 19.52312; 0.15000; 2.462382e-02;3.42660;1
 19.52324; 0.15333; 2.547184e-02;3.42660;1
 19.52324; 0.15667; 2.677698e-02;3.42660;1
 19.52324; 0.16000; 2.708204e-02;3.42660;1
 19.52312; 0.16333; 2.675527e-02;3.42660;1
 19.52300; 0.16667; 2.593361e-02;3.42660;1
 19.52265; 0.17000; 2.538054e-02;3.42660;1
 19.52253; 0.17333; 2.500979e-02;3.42660;1
 19.52241; 0.17667; 2.467136e-02;3.42660;1
 19.52235; 0.18000; 2.458418e-02;3.42660;1
 19.52241; 0.18333; 2.422617e-02;3.42660;1
 19.52247; 0.18667; 2.371740e-02;3.42660;1
 19.52259; 0.19000; 2.269511e-02;3.42660;1
 19.52265; 0.19333; 2.157420e-02;3.42660;1
 19.52259; 0.19667; 2.045254e-02;3.42660;1
 19.52235; 0.20000; 1.959530e-02;3.42660;1
