#EXPORTTYPE:DATA SINGLE
#FILE:2502-089-208-02-05-PS1-30-300-20kmin-100ml-Ar.ngb-dd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:2502-089-208-02-05
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:2502-089-208
#DATE/TIME:10.07.2025 12:19
#CORR. FILE:2502-089-208-02-02-empty-30-300-20kmin-100ml-Ar.ngb-bd7
#TEMPCAL:04-09-2020 13:02
#SENSITIVITY:29-12-2022 20:43
#LABORATORY:RC Thermo
#OPERATOR:MC
#REMARK:2502-089-208-02-05-PS1-30-300-20kmin-100ml-Ar
#SAMPLE:PS1
#SAMPLE MASS /mg:0.84
#MATERIAL:poly
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:41.65
#REFERENCE CRUCIBLE MASS /mg:41.59
#PURGE 1 MFC:ARGON,240,3 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:ARGON,240,3 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:20°C....300°C/-50.0....20.0K/min
#SEGMENT:S1-7/7
#SEG. 1:20°C/00:08/20°C
#SEG. 2:20°C/20.0(K/min)/300°C
#SEG. 3:300°C/20.0(K/min)/20°C
#SEG. 4:20°C/00:08/20°C
#SEG. 5:20°C/20.0(K/min)/300°C
#SEG. 6:300°C/50.0(K/min)/30°C
#SEG. 7:30°C/00:05/30°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
 19.52400; 0.00000;-2.358585e-02;3.42660;1
 19.52533; 0.00333;-2.207189e-02;3.42660;1
 19.52520; 0.00667;-1.951491e-02;3.42660;1
 19.52443; 0.01000;-1.570932e-02;3.42660;1
 19.52378; 0.01333;-1.272965e-02;3.42660;1
 19.52355; 0.01667;-1.196971e-02;3.42660;1
 19.52354; 0.02000;-1.423071e-02;3.42660;1
 19.52360; 0.02333;-1.662400e-02;3.42660;1
 19.52324; 0.02667;-1.830135e-02;3.42660;1
 19.52300; 0.03000;-1.844409e-02;3.42660;1
 19.52271; 0.03333;-1.862000e-02;3.42660;1
 19.52247; 0.03667;-1.896165e-02;3.42660;1
 19.52229; 0.04000;-1.969533e-02;3.42660;1
 19.52224; 0.04333;-2.041636e-02;3.42660;1
 19.52218; 0.04667;-2.080354e-02;3.42660;1
 19.52235; 0.05000;-2.108306e-02;3.42660;1
 19.52247; 0.05333;-2.129693e-02;3.42660;1
 19.52241; 0.05667;-2.159297e-02;3.42660;1
 19.52241; 0.06000;-2.180597e-02;3.42660;1
 19.52235; 0.06333;-2.216507e-02;3.42660;1
 19.52229; 0.06667;-2.295761e-02;3.42660;1
 19.52212; 0.07000;-2.383177e-02;3.42660;1
 19.52200; 0.07333;-2.417621e-02;3.42660;1
 19.52194; 0.07667;-2.406234e-02;3.42659;1
 19.52212; 0.08000;-2.366367e-02;3.42660;1
 19.52235; 0.08333;-2.371821e-02;3.42660;1
 19.52253; 0.08667;-2.419975e-02;3.42660;1
 19.52259; 0.09000;-2.511873e-02;3.42660;1
 19.52259; 0.09333;-2.610789e-02;3.42660;1
 19.52241; 0.09667;-2.684412e-02;3.42660;1
 19.52235; 0.10000;-2.742343e-02;3.42660;1
